Name,Market Cap,Price,Available Coins,Total Coins,Traded Volume,CHG %
Bitcoin,898.996B,47777.01,18.817M,21.000M,33.243B,1.43%
Ethereum,403.669B,3434.54,117.532M,117.532M,17.435B,0.11%
Cardano,80.105B,2.5,32.038B,45.000B,3.596B,4.42%
Binance Coin,72.546B,431.47,168.137M,168.137M,1.815B,4.13%
Tether,68.293B,1,68.261B,71.336B,71.962B,-0.01%
HEX,67.229B,0.39,173.411B,633.543B,34.643M,0.71%
XRP,51.292B,1.1,46.622B,100.000B,3.033B,0.36%
Solana,46.706B,157.42,296.694M,504.096M,6.418B,-0.60%
Polkadot,35.645B,36.09,987.579M,1.103B,3.208B,-3.37%
Dogecoin,31.997B,0.24,131.297B,131.297B,934.446M,1.32%
USD Coin,29.276B,1,29.273B,29.273B,2.341B,0.01%
Uniswap,15.734B,25.72,611.644M,1.000B,681.652M,0.22%
Terra,14.537B,36.15,402.117M,993.284M,1.151B,1.47%
ChainLink,14.034B,31.05,452.010M,1.000B,2.461B,0.77%
Litecoin,12.195B,182.69,66.753M,84.000M,3.278B,-0.07%
Bitcoin Cash,12.069B,640.41,18.846M,21.000M,5.514B,0.00%
Avalanche,11.623B,52.76,220.287M,720.000M,1.143B,2.54%
Algorand,10.638B,2.03,5.236B,10.000B,975.729M,-0.26%
Wrapped Bitcoin,9.837B,47784.37,205.871K,205.871K,258.391M,1.47%
Internet Computer,9.555B,58.68,162.821M,469.214M,329.393M,3.19%
Filecoin,9.177B,85.96,106.758M,106.758M,1.474B,6.42%
Polygon,9.021B,1.36,6.652B,10.000B,883.999M,2.96%
FTX Token,8.670B,71.79,120.775M,352.170M,665.597M,6.13%
TRON,8.561B,0.12,71.660B,100.851B,2.532B,0.71%
Stellar,7.976B,0.34,23.694B,50.002B,548.891M,1.68%
VeChain,7.745B,0.12,64.316B,86.713B,414.222M,2.75%
Ethereum Classic,7.552B,58.21,129.746M,210.700M,904.381M,2.02%
Cosmos,7.382B,33.34,221.403M,279.188M,1.749B,-2.95%
Theta Token,6.977B,6.98,1.000B,1.000B,427.848M,8.31%
Dai,6.543B,1,6.542B,6.542B,338.108M,-0.03%
Tezos,6.186B,7.2,859.580M,889.054M,1.253B,1.28%
Hedera Hashgraph,5.184B,0.54,9.633B,50.000B,1.386B,17.98%
Elrond,5.165B,265.61,19.444M,31.416M,431.753M,-5.32%
Aave,5.004B,379.71,13.177M,16.000M,924.874M,-1.23%
PancakeSwap,4.942B,22.34,221.227M,221.227M,406.796M,7.25%
Monero,4.893B,271.91,17.993M,17.993M,240.333M,1.24%
EOS,4.693B,4.9,958.123M,1.034B,1.285B,0.83%
IOTA,4.586B,1.65,2.780B,2.780B,172.927M,5.68%
eCash,4.535B,0,18843.542B,21000.000B,425.303M,-4.99%
Quant,4.440B,367.8,12.073M,14.612M,143.598M,0.22%
Axie Infinity,4.200B,68.95,60.907M,270.000M,274.007M,3.38%
The Graph,4.194B,0.89,4.716B,10.057B,133.554M,3.57%
NEAR Protocol,4.140B,8.99,460.573M,1.000B,354.815M,4.79%
Bitcoin BEP2,4.066B,47770.25,85.118K,92.501K,34.747M,1.52%
Fantom,3.677B,1.44,2.545B,3.175B,925.685M,20.29%
NEO,3.671B,52.04,70.539M,100.000M,427.248M,0.59%
Kusama,3.482B,411.08,8.470M,9.651M,231.443M,-1.63%
Klaytn,3.348B,1.34,2.505B,10.672B,91.186M,-4.48%
Waves,3.222B,30.35,106.174M,106.174M,114.226M,1.94%
UNUS SED LEO,3.015B,3.16,953.954M,985.240M,2.500M,3.30%
Bitcoin SV,2.948B,156.44,18.843M,21.000M,310.528M,1.64%
Maker,2.904B,2929,991.328K,1.006M,145.686M,3.69%
"S 
SHIBA INU",2.830B,0,394796.000B,1000000.000B,194.001M,1.51%
BitTorrent,2.707B,0,659.953B,990.000B,419.287M,0.10%
TerraUSD,2.581B,1,2.580B,2.580B,198.916M,-0.01%
Huobi Token,2.376B,14.54,163.409M,500.000M,129.486M,-0.10%
Compound,2.329B,422.92,5.506M,10.000M,330.827M,-5.43%
Creditcoin,2.206B,3.9,564.971M,2.000B,5.360M,-0.41%
Amp,2.189B,0.05,42.228B,92.548B,23.033M,3.27%
Dash,2.132B,206.39,10.332M,18.900M,266.641M,0.82%
THORChain,2.094B,9.33,224.410M,500.000M,88.236M,0.69%
Chiliz,2.007B,0.34,5.898B,8.889B,237.452M,1.09%
Helium,1.983B,20.28,97.782M,223.000M,18.825M,-1.46%
Stacks,1.926B,1.54,1.247B,1.818B,52.367M,-1.33%
Decred,1.915B,143.88,13.312M,21.000M,12.844M,-0.51%
Arweave,1.913B,57.28,33.395M,66.000M,47.279M,3.08%
BigONE Token,1.836B,0.17,10.554B,12.600B,173.446M,1.25%
Holo,1.733B,0.01,172.896B,177.619B,143.739M,1.54%
Theta Fuel,1.728B,0.33,5.301B,5.301B,74.055M,3.17%
Zcash,1.690B,133.57,12.654M,21.000M,224.312M,-0.02%
Revain,1.682B,0.02,85.061B,85.061B,2.593M,-2.31%
SushiSwap,1.641B,12.9,127.244M,250.000M,658.627M,-2.11%
Celo,1.592B,5.19,306.819M,1.000B,83.947M,3.35%
Synthetix Network Token,1.556B,13.55,114.842M,212.424M,328.309M,-1.77%
XinFin Network,1.552B,0.13,12.295B,37.695B,10.506M,2.88%
Decentraland,1.517B,0.84,1.795B,2.194B,87.830M,0.04%
ICON,1.461B,2.18,669.620M,800.460M,273.318M,5.46%
Enjin Coin,1.446B,1.73,834.334M,1.000B,92.269M,3.06%
TrueUSD,1.413B,1,1.414B,1.414B,100.157M,0.00%
"M 
Mina",1.412B,5.95,237.106M,824.105M,216.544M,-3.23%
IOStoken,1.401B,0.08,18.100B,90.000B,870.265M,4.05%
Parachute,1.363B,2.15,632.977M,999.628M,191.262K,1.43%
yearn.finance,1.334B,36416.47,36.635K,36.666K,268.801M,2.11%
Curve DAO Token,1.331B,3.12,426.748M,3.303B,724.548M,11.76%
Zilliqa,1.290B,0.11,11.736B,21.000B,86.174M,3.30%
Flow (Dapper Labs),1.266B,22.18,57.065M,1.344B,691.214M,-1.48%
Qtum,1.260B,12.77,98.699M,107.822M,245.557M,-0.50%
Celsius,1.253B,5.25,238.864M,695.658M,9.016M,1.30%
OmiseGO,1.232B,8.78,140.245M,140.245M,604.286M,-2.11%
Bitcoin Gold,1.183B,67.52,17.514M,21.000M,59.956M,1.81%
Basic Attention Token,1.177B,0.79,1.490B,1.500B,188.263M,1.16%
"M 
Mdex",1.160B,1.72,673.923M,1.000B,30.920M,1.57%
Ravencoin,1.144B,0.12,9.655B,21.000B,56.219M,0.71%
Telcoin,1.065B,0.02,54.302B,100.000B,16.332M,1.97%
"P 
Perpetual Protocol",1.018B,17.25,59.019M,150.000M,74.139M,-5.83%
Horizen,1.012B,87.83,11.522M,21.000M,46.594M,2.81%
Bancor,959.383M,4.13,232.184M,232.184M,71.901M,0.05%
"U 
Pax Dollar",944.697M,1,945.643M,945.643M,8.919M,-0.59%
Nexo,935.022M,1.67,560.000M,1.000B,11.093M,1.53%
Siacoin,932.566M,0.02,48.851B,48.851B,47.635M,2.14%
Ren,897.714M,0.9,997.763M,1.000B,315.823M,9.29%
Ontology,894.661M,1.02,875.250M,1.000B,130.831M,0.66%
0x,889.478M,1.05,845.342M,1.000B,82.441M,-1.06%
Audius,880.173M,2.17,406.078M,1.049B,28.552M,-0.98%
DigiByte,855.718M,0.06,14.670B,21.000B,26.532M,1.44%
Facebook tokenized stock Bittrex,816.225M,374.42,2.180M,190.700M,4.936M,0.00%
DeFiChain,799.285M,2.66,300.512M,1.200B,4.626M,2.82%
Bitcoin Cash ABC,798.623M,43,18.573M,21.000M,1.117B,1.43%
Ankr,768.950M,0.1,7.663B,10.000B,53.367M,1.51%
Nano,747.560M,5.61,133.248M,133.248M,23.047M,0.41%
"X 
Symbol",746.945M,0.14,5.496B,9.000B,3.985M,3.70%
renBTC,729.247M,47621.91,15.313K,13.698K,5.013M,1.42%
Coin98,714.776M,3.86,185.000M,1.000B,172.390M,2.44%
SwissBorg,712.250M,0.71,1.000B,1.000B,2.494M,0.41%
WhiteCoin,711.485M,0.96,740.885M,1.000B,24.671M,1.43%
UMA,706.867M,11.26,62.761M,101.173M,85.996M,-0.93%
The Sandbox,701.353M,0.79,892.246M,3.000B,135.207M,-0.66%
"D 
dYdX",659.134M,11.84,55.679M,1.000B,348.113M,1.13%
IoTeX,656.500M,0.07,9.541B,10.000B,46.523M,9.91%
Fetch.ai,654.938M,0.88,746.114M,1.153B,68.090M,-3.29%
Loopring,648.840M,0.49,1.321B,1.375B,98.050M,5.40%
Factom,610.411M,1.82,336.217M,600.000M,10.459M,1.78%
Kava,584.210M,6.39,91.443M,144.616M,58.461M,0.24%
1inch,567.136M,3.14,180.362M,1.500B,368.697M,2.41%
Ergo,558.178M,17.44,32.012M,97.740M,5.226M,-0.64%
"V 
Voyager Token",555.012M,2.5,222.295M,222.295M,5.142M,-6.05%
SKALE Network,543.733M,0.45,1.213B,7.000B,114.718M,1.40%
Swipe,542.755M,2.9,187.369M,239.612M,244.283M,7.97%
Celer Network,536.942M,0.09,5.852B,10.000B,417.538M,-5.38%
Ocean Protocol,529.014M,0.86,613.099M,1.410B,52.553M,9.17%
Serum,528.532M,10.57,50.000M,10.000B,822.903M,1.07%
Golem,514.160M,0.51,1.000B,1.000B,13.843M,0.30%
Neutrino USD,512.989M,1,514.231M,514.232M,16.946M,-1.08%
DigitalBits,503.762M,0.65,777.010M,1.500B,9.056M,9.85%
Reserve Rights,503.074M,0.04,13.160B,100.000B,56.067M,2.79%
WAX,501.174M,0.29,1.754B,3.783B,24.837M,-0.03%
Pirate Chain,499.884M,2.68,186.809M,200.000M,912.992K,-0.27%
Dent,496.758M,0.01,99.008B,100.000B,47.263M,3.30%
Alpha Finance Lab,481.911M,1.19,406.330M,1.000B,73.958M,1.22%
Lisk,467.613M,3.63,128.900M,144.819M,15.762M,1.95%
Numeraire,464.934M,45.59,10.198M,11.000M,28.662M,4.62%
Unibright,462.260M,3.08,150.000M,150.000M,2.601M,-1.62%
Storj,458.854M,1.43,319.915M,425.000M,34.131M,3.52%
"T 
Trust Wallet Token",457.576M,1.32,346.951M,1.000B,88.344M,0.42%
Nervos Network,451.947M,0.02,27.822B,33.646B,32.079M,-1.47%
Polymath,436.922M,0.7,624.947M,1.000B,74.313M,-3.68%
Electroneum,434.402M,0.02,17.899B,21.000B,4.935M,7.14%
Gnosis,422.023M,280.49,1.505M,10.000M,9.873M,1.72%
Akash Network,417.241M,5.31,78.613M,388.539M,2.053M,-1.92%
BakeryToken,416.146M,2.15,193.529M,289.771M,105.660M,13.26%
